country,iso_3,year,value
Aruba,ABW,2023,3648573136.15155
Aruba,ABW,2022,3279343543.60416
Aruba,ABW,2021,2929446578.25104
Afghanistan,AFG,2023,17233051620.1117
Afghanistan,AFG,2022,14497243872.1337
Afghanistan,AFG,2021,14259995441.0759
Angola,AGO,2023,84824654481.7249
Angola,AGO,2022,104399746853.401
Angola,AGO,2021,66505129987.7235
Albania,ALB,2023,23547179830.4413
Albania,ALB,2022,19017242585.7803
Albania,ALB,2021,18032010563.7558
Andorra,AND,2023,3785067331.7625
Andorra,AND,2022,3380612573.32922
Andorra,AND,2021,3324647529.381
United Arab Emirates,ARE,2023,514130432653.081
United Arab Emirates,ARE,2022,502731935197.487
United Arab Emirates,ARE,2021,415178792769.884
Argentina,ARG,2023,646075277525.125
Argentina,ARG,2022,632790070063.124
Argentina,ARG,2021,486564085480.036
Armenia,ARM,2023,24085749592.3359
Armenia,ARM,2022,19513506553.1251
Armenia,ARM,2021,13878908628.9378
American Samoa,ASM,2022,871000000.0
American Samoa,ASM,2021,750000000.0
American Samoa,ASM,2020,721000000.0
Antigua and Barbuda,ATG,2023,2033085185.18518
Antigua and Barbuda,ATG,2022,1867733333.33333
Antigua and Barbuda,ATG,2021,1601366666.66667
Australia,AUS,2023,1728057316695.61
Australia,AUS,2022,1690858246994.43
Australia,AUS,2021,1556735770437.26
Austria,AUT,2023,511685203845.001
Austria,AUT,2022,471773629830.381
Austria,AUT,2021,480467037338.783
Azerbaijan,AZE,2023,72356176470.5882
Azerbaijan,AZE,2022,78807470588.2353
Azerbaijan,AZE,2021,54825411764.7059
Burundi,BDI,2023,2642161668.85211
Burundi,BDI,2022,3338722827.65691
Burundi,BDI,2021,2775798697.46022
Belgium,BEL,2023,644782756682.756
Belgium,BEL,2022,593438820508.173
Belgium,BEL,2021,598494036474.409
Benin,BEN,2023,19676049075.7011
Benin,BEN,2022,17401746309.2655
Benin,BEN,2021,17690083519.9323
Burkina Faso,BFA,2023,20324617844.5265
Burkina Faso,BFA,2022,18820218690.5948
Burkina Faso,BFA,2021,19697516284.3787
Bangladesh,BGD,2023,437415331040.994
Bangladesh,BGD,2022,460131688909.301
Bangladesh,BGD,2021,416271647911.014
Bulgaria,BGR,2023,102407653020.606
Bulgaria,BGR,2022,90642851835.8996
Bulgaria,BGR,2021,84417951260.8091
Bahrain,BHR,2023,46079867021.2766
Bahrain,BHR,2022,46680398936.1702
Bahrain,BHR,2021,40840212765.9574
"Bahamas, The",BHS,2023,14338500000.0
"Bahamas, The",BHS,2022,13136400000.0
"Bahamas, The",BHS,2021,11368900000.0
Bosnia and Herzegovina,BIH,2023,27514782476.0406
Bosnia and Herzegovina,BIH,2022,24534663636.1778
Bosnia and Herzegovina,BIH,2021,23672712242.2149
Belarus,BLR,2023,71857382745.6066
Belarus,BLR,2022,73775179924.603
Belarus,BLR,2021,69673747131.87
Belize,BLZ,2023,3066850000.0
Belize,BLZ,2022,2846700000.0
Belize,BLZ,2021,2420550000.0
Bermuda,BMU,2023,8141700000.0
Bermuda,BMU,2022,7827980000.0
Bermuda,BMU,2021,7286607000.0
Bolivia,BOL,2023,45135398008.8166
Bolivia,BOL,2022,44008282877.9606
Bolivia,BOL,2021,40406111695.179
Brazil,BRA,2023,2173665655937.27
Brazil,BRA,2022,1951923942083.32
Brazil,BRA,2021,1670647399034.67
Barbados,BRB,2023,6720733200.0
Barbados,BRB,2022,6257303500.0
Barbados,BRB,2021,5275242050.0
Brunei Darussalam,BRN,2023,15128292980.8638
Brunei Darussalam,BRN,2022,16681536442.5498
Brunei Darussalam,BRN,2021,14006496614.3195
Bhutan,BTN,2022,2898227743.13545
Bhutan,BTN,2021,2768802959.60794
Bhutan,BTN,2020,2457604334.15915
Botswana,BWA,2023,19396084498.0084
Botswana,BWA,2022,20321958850.0363
Botswana,BWA,2021,18750946600.1423
Central African Republic,CAF,2023,2555492085.24831
Central African Republic,CAF,2022,2382618615.01694
Central African Republic,CAF,2021,2516498412.46384
Canada,CAN,2023,2142470914401.36
Canada,CAN,2022,2161483369422.01
Canada,CAN,2021,2007472181464.15
Switzerland,CHE,2023,884940402230.409
Switzerland,CHE,2022,818426550206.45
Switzerland,CHE,2021,813408787222.499
Chile,CHL,2023,335533331669.219
Chile,CHL,2022,302116539409.03
Chile,CHL,2021,315515014838.539
China,CHN,2023,17794783039552.0
China,CHN,2022,17881782683707.3
China,CHN,2021,17820459508852.2
Cote d'Ivoire,CIV,2023,78875489245.0538
Cote d'Ivoire,CIV,2022,70173140101.4315
Cote d'Ivoire,CIV,2021,72794636653.7793
Cameroon,CMR,2023,49279410982.826
Cameroon,CMR,2022,44347206072.5513
