country,iso_3,year,value
Afghanistan,AFG,2022,0.462
Afghanistan,AFG,2021,0.473
Afghanistan,AFG,2020,0.488
Albania,ALB,2022,0.789
Albania,ALB,2021,0.785
Albania,ALB,2020,0.784
Algeria,DZA,2022,0.745
Algeria,DZA,2021,0.74
Algeria,DZA,2020,0.73
Andorra,AND,2022,0.884
Andorra,AND,2021,0.855
Andorra,AND,2020,0.843
Angola,AGO,2022,0.591
Angola,AGO,2021,0.59
Angola,AGO,2020,0.594
Antigua and Barbuda,ATG,2022,0.826
Antigua and Barbuda,ATG,2021,0.819
Antigua and Barbuda,ATG,2020,0.82
Argentina,ARG,2022,0.849
Argentina,ARG,2021,0.844
Argentina,ARG,2020,0.841
Armenia,ARM,2022,0.786
Armenia,ARM,2021,0.774
Armenia,ARM,2020,0.769
Australia,AUS,2022,0.946
Australia,AUS,2021,0.949
Australia,AUS,2020,0.948
Austria,AUT,2022,0.926
Austria,AUT,2021,0.92
Austria,AUT,2020,0.916
Azerbaijan,AZE,2022,0.76
Azerbaijan,AZE,2021,0.738
Azerbaijan,AZE,2020,0.722
Bahamas,BHS,2022,0.82
Bahamas,BHS,2021,0.799
Bahamas,BHS,2020,0.798
Bahrain,BHR,2022,0.888
Bahrain,BHR,2021,0.884
Bahrain,BHR,2020,0.884
Bangladesh,BGD,2022,0.67
Bangladesh,BGD,2021,0.662
Bangladesh,BGD,2020,0.657
Barbados,BRB,2022,0.809
Barbados,BRB,2021,0.803
Barbados,BRB,2020,0.803
Belarus,BLR,2022,0.801
Belarus,BLR,2021,0.801
Belarus,BLR,2020,0.8
Belgium,BEL,2022,0.942
Belgium,BEL,2021,0.938
Belgium,BEL,2020,0.93
Belize,BLZ,2022,0.7
Belize,BLZ,2021,0.698
Belize,BLZ,2020,0.705
Benin,BEN,2022,0.504
Benin,BEN,2021,0.502
Benin,BEN,2020,0.501
Bhutan,BTN,2022,0.681
Bhutan,BTN,2021,0.677
Bhutan,BTN,2020,0.675
Bolivia (Plurinational State of),BOL,2022,0.698
Bolivia (Plurinational State of),BOL,2021,0.691
Bolivia (Plurinational State of),BOL,2020,0.691
Bosnia and Herzegovina,BIH,2022,0.779
Bosnia and Herzegovina,BIH,2021,0.776
Bosnia and Herzegovina,BIH,2020,0.776
Botswana,BWA,2022,0.708
Botswana,BWA,2021,0.68
Botswana,BWA,2020,0.701
Brazil,BRA,2022,0.76
Brazil,BRA,2021,0.756
Brazil,BRA,2020,0.758
Brunei Darussalam,BRN,2022,0.823
Brunei Darussalam,BRN,2021,0.824
Brunei Darussalam,BRN,2020,0.827
Bulgaria,BGR,2022,0.799
Bulgaria,BGR,2021,0.796
Bulgaria,BGR,2020,0.802
Burkina Faso,BFA,2022,0.438
Burkina Faso,BFA,2021,0.445
Burkina Faso,BFA,2020,0.446
Burundi,BDI,2022,0.42
Burundi,BDI,2021,0.419
Burundi,BDI,2020,0.419
Cabo Verde,CPV,2022,0.661
Cabo Verde,CPV,2021,0.65
Cabo Verde,CPV,2020,0.649
Cambodia,KHM,2022,0.6
Cambodia,KHM,2021,0.596
Cambodia,KHM,2020,0.596
Cameroon,CMR,2022,0.587
Cameroon,CMR,2021,0.581
Cameroon,CMR,2020,0.585
Canada,CAN,2022,0.935
Canada,CAN,2021,0.934
Canada,CAN,2020,0.928
Central African Republic,CAF,2022,0.387
Central African Republic,CAF,2021,0.387
Central African Republic,CAF,2020,0.389
Chad,TCD,2022,0.394
Chad,TCD,2021,0.393
Chad,TCD,2020,0.396
Chile,CHL,2022,0.86
Chile,CHL,2021,0.856
Chile,CHL,2020,0.849
China,CHN,2022,0.788
China,CHN,2021,0.785
China,CHN,2020,0.781
Colombia,COL,2022,0.758
Colombia,COL,2021,0.752
Colombia,COL,2020,0.756
Comoros,COM,2022,0.586
Comoros,COM,2021,0.585
Comoros,COM,2020,0.588
Congo,COG,2022,0.593
Congo,COG,2021,0.598
Congo,COG,2020,0.598
Congo (Democratic Republic of the),COD,2022,0.481
Congo (Democratic Republic of the),COD,2021,0.475
Congo (Democratic Republic of the),COD,2020,0.477
Costa Rica,CRI,2022,0.806
Costa Rica,CRI,2021,0.804
Costa Rica,CRI,2020,0.811
Croatia,HRV,2022,0.878
Croatia,HRV,2021,0.867
Croatia,HRV,2020,0.86
Cuba,CUB,2022,0.764
Cuba,CUB,2021,0.742
Cuba,CUB,2020,0.759
Cyprus,CYP,2022,0.907
Cyprus,CYP,2021,0.901
Cyprus,CYP,2020,0.9
Czechia,CZE,2022,0.895
Czechia,CZE,2021,0.891
Czechia,CZE,2020,0.891
Côte d'Ivoire,CIV,2022,0.534
Côte d'Ivoire,CIV,2021,0.53
Côte d'Ivoire,CIV,2020,0.53
Denmark,DNK,2022,0.952
Denmark,DNK,2021,0.947
Denmark,DNK,2020,0.946
Djibouti,DJI,2022,0.515
Djibouti,DJI,2021,0.512
Djibouti,DJI,2020,0.512
Dominica,DMA,2022,0.74
Dominica,DMA,2021,0.737
Dominica,DMA,2020,0.738
Dominican Republic,DOM,2022,0.766
Dominican Republic,DOM,2021,0.756
Dominican Republic,DOM,2020,0.76
Ecuador,ECU,2022,0.765
Ecuador,ECU,2021,0.746
Ecuador,ECU,2020,0.734
Egypt,EGY,2022,0.728
Egypt,EGY,2021,0.726
Egypt,EGY,2020,0.729
El Salvador,SLV,2022,0.674
El Salvador,SLV,2021,0.669
El Salvador,SLV,2020,0.666
Equatorial Guinea,GNQ,2022,0.65
Equatorial Guinea,GNQ,2021,0.647
Equatorial Guinea,GNQ,2020,0.65
Eritrea,ERI,2022,0.493
Eritrea,ERI,2021,0.49
Eritrea,ERI,2020,0.49
Estonia,EST,2022,0.899
Estonia,EST,2021,0.89
Estonia,EST,2020,0.891
Eswatini (Kingdom of),SWZ,2022,0.61
Eswatini (Kingdom of),SWZ,2021,0.612
Eswatini (Kingdom of),SWZ,2020,0.622
Ethiopia,ETH,2022,0.492
Ethiopia,ETH,2021,0.489
Ethiopia,ETH,2020,0.489
Fiji,FJI,2022,0.729
Fiji,FJI,2021,0.715
Fiji,FJI,2020,0.722
Finland,FIN,2022,0.942
Finland,FIN,2021,0.941
Finland,FIN,2020,0.939
France,FRA,2022,0.91
France,FRA,2021,0.906
France,FRA,2020,0.9
Gabon,GAB,2022,0.693
Gabon,GAB,2021,0.687
Gabon,GAB,2020,0.704
Gambia,GMB,2022,0.495
Gambia,GMB,2021,0.49
Gambia,GMB,2020,0.492
Georgia,GEO,2022,0.814
Georgia,GEO,2021,0.809
Georgia,GEO,2020,0.807
Germany,DEU,2022,0.95
Germany,DEU,2021,0.948
Germany,DEU,2020,0.948
